date,open,high,low,close,volume,short,middle,long,bear_fractal,bull_fractal
2021-09-22 03:00:00,352.9,356.11,352.23,352.98,64656.46,351.99,352.68,356.37,True,False
2021-09-22 04:00:00,352.97,354.22,349.77,350.73,55843.56,351.48,352.29,355.78,False,True
2021-09-22 05:00:00,350.74,355.33,350.74,354.12,46248.3,352.54,352.65,355.6,False,False
2021-09-22 06:00:00,354.17,358.18,350.84,358.17,55576.98,354.79,353.76,355.87,False,False
2021-09-22 07:00:00,358.19,362.0,356.58,361.18,68646.2,357.34,355.24,356.43,False,False
2021-09-22 08:00:00,361.12,362.25,358.26,359.03,48833.82,358.02,356.0,356.7,False,False
2021-09-22 09:00:00,359.03,361.86,358.63,361.82,58158.93,359.54,357.16,357.24,False,False
2021-09-22 10:00:00,361.82,363.1,359.0,361.18,50053.79,360.19,357.96,357.66,True,False
2021-09-22 11:00:00,361.17,362.5,356.6,357.44,72921.52,359.09,357.86,357.63,False,False
2021-09-22 12:00:00,357.42,360.5,356.32,359.81,48834.59,359.38,358.25,357.86,False,True
2021-09-22 13:00:00,359.81,364.3,359.06,362.18,68801.88,360.5,359.03,358.31,False,False
2021-09-22 14:00:00,362.19,363.65,360.93,362.84,50978.52,361.43,359.79,358.79,False,False
2021-09-22 15:00:00,362.84,370.0,362.84,369.49,109699.5,364.65,361.73,359.92,False,False
2021-09-22 16:00:00,369.5,373.79,369.18,373.34,85183.6,368.13,364.05,361.33,False,False
2021-09-22 17:00:00,373.34,373.95,368.52,369.53,70713.17,368.69,365.15,362.19,False,False
2021-09-22 18:00:00,369.59,379.27,368.16,371.86,203257.98,369.95,366.49,363.21,True,True
2021-09-22 19:00:00,371.86,376.84,370.67,375.64,62788.02,372.23,368.32,364.52,False,False
2021-09-22 20:00:00,375.63,377.41,374.05,376.53,37578.27,373.95,369.96,365.78,False,False
2021-09-22 21:00:00,376.52,378.92,374.12,376.74,43918.91,375.06,371.31,366.93,False,False
2021-09-22 22:00:00,376.74,379.66,375.23,378.37,52212.01,376.38,372.72,368.14,False,False
2021-09-22 23:00:00,378.36,379.6,375.58,378.82,58063.09,377.36,373.94,369.26,False,False
2021-09-23 00:00:00,378.83,379.99,371.36,372.9,107225.61,375.57,373.73,369.64,True,True
2021-09-23 01:00:00,372.89,377.19,371.51,377.17,47118.52,376.21,374.42,370.44,False,False
2021-09-23 02:00:00,377.19,377.98,374.84,377.06,34696.25,376.55,374.95,371.13,False,False
2021-09-23 03:00:00,377.06,379.8,375.58,379.58,51610.56,377.76,375.87,372.02,False,False
2021-09-23 04:00:00,379.59,383.64,377.78,380.02,84573.4,378.66,376.7,372.86,True,False
2021-09-23 05:00:00,380.01,382.15,378.01,379.34,48092.7,378.93,377.23,373.54,False,False
2021-09-23 06:00:00,379.35,381.48,376.01,380.93,47857.96,379.73,377.97,374.32,False,True
2021-09-23 07:00:00,380.98,383.97,379.27,382.71,62313.38,380.92,378.91,375.2,True,False
2021-09-23 08:00:00,382.66,383.19,376.47,376.57,61206.24,379.18,378.44,375.35,False,False
2021-09-23 09:00:00,376.58,379.13,375.06,376.27,64418.71,378.01,378.01,375.44,False,False
2021-09-23 10:00:00,376.31,378.22,371.32,373.94,95483.53,376.38,377.19,375.28,False,False
2021-09-23 11:00:00,373.94,374.09,369.0,371.43,79629.35,374.4,376.04,374.88,False,True
2021-09-23 12:00:00,371.43,374.46,369.5,371.67,74143.23,373.31,375.17,374.54,False,False
2021-09-23 13:00:00,371.66,378.7,371.02,377.66,77142.73,375.05,375.66,374.87,False,False
2021-09-23 14:00:00,377.74,378.89,376.78,378.75,41815.7,376.53,376.28,375.28,False,False
2021-09-23 15:00:00,378.7,378.91,372.44,373.24,74317.57,375.21,375.67,375.06,False,False
2021-09-23 16:00:00,373.2,375.59,372.53,374.76,38856.3,375.03,375.49,375.03,False,False
2021-09-23 17:00:00,374.77,383.4,374.77,382.83,109474.09,378.15,376.95,375.85,False,False
2021-09-23 18:00:00,382.84,383.5,380.03,382.24,56384.42,379.78,378.01,376.52,True,False
2021-09-23 19:00:00,382.23,383.0,380.56,382.32,31012.56,380.8,378.87,377.13,False,False
2021-09-23 20:00:00,382.32,382.8,380.33,381.35,25301.44,381.02,379.37,377.58,False,False
